Wall time,Step,Value
1701939959.169032,66664,2.0866787433624268
1701939962.2329621,66680,2.203829526901245
1701939973.6771917,66742,2.493278741836548
1701940069.703781,67237,1.6923199892044067
1701940077.9444585,67281,2.9054341316223145
1701940121.6591556,67511,1.9249610900878906
1701940123.954169,67523,1.9767967462539673
1701940186.2318907,67834,1.8122659921646118
1701940199.0909472,67898,2.378540515899658
1701940218.3492317,67994,1.674059510231018
1701940258.1322575,68188,1.384881615638733
1701940308.272209,68438,1.4158391952514648
1701940312.023041,68456,2.326451301574707
1701940339.4264212,68587,2.3053860664367676
1701940345.7457812,68619,2.3543145656585693
1701940387.8153226,68826,2.493354320526123
1701940437.2698264,69066,1.534039855003357
1701940470.9064682,69234,2.649358034133911
1701940490.967246,69336,3.7397735118865967
1701940508.5829961,69427,3.196429967880249
1701940515.5426195,69460,2.374089241027832
1701940529.3854835,69529,2.3260927200317383
1701940553.112028,69640,1.532970905303955
1701940560.2142875,69675,1.8446756601333618
1701940589.56028,69822,2.498276472091675
1701940666.0736156,70195,1.9304322004318237
1701940695.3869336,70339,2.330517053604126
1701940699.9562085,70360,2.634612798690796
1701940746.243085,70588,1.8230080604553223
1701940747.1553514,70593,3.4068334102630615
1701940756.5212219,70637,3.1807854175567627
1701940805.0293682,70875,4.266310691833496
1701940820.5237708,70951,2.4830195903778076
1701940821.8409293,70958,2.3056087493896484
1701940847.4307497,71081,2.481435775756836
1701940863.2515428,71159,3.461735963821411
1701940873.009043,71206,2.0444586277008057
1701940882.9854357,71256,2.546985149383545
1701940902.7482398,71356,2.613450288772583
1701940969.5019898,71694,2.7152750492095947
1701940996.0374022,71833,3.0575671195983887
1701941012.7545314,71923,3.102094888687134
1701941083.527391,72289,1.988134741783142
1701941132.0487523,72550,3.7371294498443604
1701941138.411677,72585,1.7834625244140625
1701941239.2842448,73124,3.5128908157348633
1701941254.8794415,73204,2.528996229171753
1701941262.2414682,73242,3.704706907272339
1701941302.0445526,73453,1.9623292684555054
1701941322.7001746,73565,1.9934813976287842
1701941344.815946,73686,1.785341501235962
1701941373.243724,73838,1.716033935546875
1701941389.0945477,73915,2.5218961238861084
1701941390.2585728,73922,2.2111899852752686
1701941394.188623,73943,2.0982296466827393
1701941412.5017085,74036,1.9474881887435913
1701941434.0501404,74150,2.0861289501190186
1701941441.9299543,74192,1.8843611478805542
1701941517.8933253,74594,2.4326155185699463
1701941548.7910726,74756,1.8232948780059814
1701941596.7028096,75005,1.901571273803711
1701941615.9864666,75110,1.8930437564849854
1701941622.708881,75146,1.7417287826538086
1701941629.731999,75184,3.06504487991333
1701941633.5764012,75205,1.7547054290771484
1701941663.88336,75369,1.9124560356140137
1701941677.2028015,75442,2.009268045425415
1701941688.2367816,75497,1.640986680984497
1701941701.2428353,75565,2.3649563789367676
1701941709.7528865,75612,2.3141579627990723
1701941723.4398158,75685,2.6391148567199707
1701941783.929943,76005,2.164405107498169
1701941825.1100676,76219,1.9817028045654297
1701941874.6339085,76487,1.699277639389038
1701941882.832395,76531,1.5893296003341675
1701941893.9439838,76587,1.9381436109542847
1701941932.2867339,76793,1.5941474437713623
1701941973.8041592,77012,1.9514613151550293
1701941977.6299756,77032,1.99197518825531
1701941999.7650592,77145,1.6904772520065308
1701942078.0282588,77558,2.109199047088623
1701942088.4118676,77609,1.9038878679275513
1701942128.9854705,77806,2.0821409225463867
1701942157.2499452,77950,2.94096040725708
1701942185.3762205,78089,2.2343368530273438
1701942196.641895,78144,1.7432783842086792
1701942205.735214,78186,2.640118360519409
1701942214.6654723,78229,1.3642277717590332
1701942239.5290413,78349,2.8602676391601562
1701942240.246375,78352,1.904905080795288
1701942254.713004,78423,2.657810926437378
1701942257.1662104,78435,0.9033488631248474
1701942288.0231776,78590,2.379340887069702
1701942297.272338,78638,2.6330931186676025
1701942383.6573331,79060,3.401970148086548
1701945354.994337,79148,1.4177056550979614
1701945355.1325233,79149,1.5924124717712402
1701945360.3105958,79178,1.7080577611923218
1701945369.4589012,79230,2.0810341835021973
1701945425.0632443,79554,2.6152706146240234
1701945479.634731,79865,2.2211713790893555
1701945587.3891666,80473,2.009021282196045
1701945590.7934253,80493,2.0658633708953857
1701945737.726684,81315,2.283130168914795
1701945747.7534418,81368,1.5468862056732178
1701945760.115391,81437,2.1186211109161377
1701945791.8147562,81615,1.6786720752716064
1701945810.9015596,81721,2.337280511856079
1701945948.1763587,82482,1.2375167608261108
1701945961.3755684,82557,1.457653522491455
1701945994.824657,82748,1.4143483638763428
1701946067.4418218,83150,1.5307960510253906
1701946070.9612858,83169,1.3304365873336792
1701946072.2194202,83176,1.4056254625320435
1701946098.4992158,83324,1.3892806768417358
1701946182.841261,83795,1.8097738027572632
1701946202.16263,83904,1.788435697555542
1701946209.8267019,83947,5.00502872467041
1701946217.0633068,83989,3.9689483642578125
1701946227.2391257,84039,1.3403642177581787
1701946269.7276027,84281,1.3045903444290161
1701946301.634731,84460,1.3462722301483154
1701946366.894205,84822,1.8970587253570557
1701946368.635397,84832,1.519926905632019
1701946373.3133307,84858,1.3657357692718506
1701946422.6964571,85127,1.8586407899856567
1701946474.8970048,85420,1.594558596611023
1701946508.2587976,85605,1.1560934782028198
1701946540.9876554,85784,1.2459700107574463
1701946619.8384783,86222,1.132320761680603
1701946652.3971164,86402,2.646329402923584
1701946655.9126306,86421,1.720580816268921
1701946699.0477228,86658,2.1940958499908447
1701946709.7128255,86716,1.8627073764801025
1701946738.0330482,86867,1.8168405294418335
1701946742.6841252,86894,1.5907413959503174
1701946750.7093964,86939,1.5029891729354858
1701946820.1109178,87321,1.5185153484344482
1701946866.0234084,87575,2.553659439086914
1701946885.9993773,87688,1.350224494934082
1701946904.9821615,87794,1.4284989833831787
1701946926.2163858,87909,1.7080206871032715
1701946960.86097,88097,1.8862218856811523
1701946983.9297285,88224,1.4642783403396606
1701947044.689359,88557,1.8111282587051392
1701947093.7831235,88832,1.7450283765792847
1701947208.2820659,89446,1.830214023590088
1701947263.1344278,89753,1.6871860027313232
1701947317.372161,90044,1.4592825174331665
1701947335.3063314,90141,1.267960786819458
1701947340.9703438,90172,3.23921799659729
1701947343.9957078,90189,1.3275326490402222
1701947414.4840932,90577,1.5890873670578003
1701947415.774252,90584,1.5645970106124878
1701947456.3060212,90806,3.441716432571411
1701947459.0813127,90822,2.8558130264282227
1701947473.1461673,90900,1.5150214433670044
1701947482.3460345,90950,1.3642278909683228
1701947490.1698725,90993,1.4352376461029053
1701947507.5183675,91080,1.4792754650115967
1701947569.1869552,91420,1.7648338079452515
1701947626.9030058,91737,1.8650199174880981
1701947646.673995,91850,2.4308760166168213
1701947672.5059886,91993,1.3896527290344238
1701947709.4682164,92187,1.2812122106552124
1701947721.806774,92253,1.1328039169311523
1701947721.9494228,92254,1.5992506742477417
1701947722.8253198,92259,1.3450322151184082
1701947724.1916718,92266,1.348366618156433
1701947812.133305,92751,2.5628223419189453
1701947825.1584752,92823,2.9079878330230713
1701947882.0100012,93133,1.4428558349609375
1701947923.1829307,93355,2.341294527053833
1701947987.3601315,93715,2.364171266555786
1701947995.7909725,93759,1.8372223377227783
1701947997.2861984,93767,1.4616352319717407
1701948040.74904,94005,1.5769938230514526
1701948042.1874533,94013,2.6490325927734375
1701948070.0318933,94165,2.2694520950317383
1701948125.1391373,94471,1.5234657526016235
1701948198.3775613,94873,2.4423956871032715
1701948237.2287621,95084,2.45696759223938
1701948264.6170819,95237,2.4948837757110596
